position,champion,avg_kills,avg_deaths,avg_assists,avg_kda,avg_damage,avg_tanking,avg_vision,avg_gold,avg_cs,avg_time,avg_solokills,DPM,GPM,VSPM,DTM
TOP,리 신,4.89,6.08,5.01,2.2,19480.9933,30982.0268,21.7919,10684.3154,191.9262,1526.4,2.1,765.76,419.98,0.86,1217.85
TOP,그라가스,3.5,4.52,6.21,3.11,19400.8234,29201.3342,24.164,9871.4099,178.3315,1567.48,1.33,742.62,377.86,0.92,1117.77
TOP,자크,3.44,4.61,6.24,3.37,17820.0989,40034.7655,20.8588,9636.5141,173.8023,1554.34,1.45,687.88,371.98,0.81,1545.4
TOP,워윅,5.75,5.63,4.53,2.69,17883.7717,32275.2075,21.144,10218.6394,173.9676,1539.69,2.49,696.91,398.21,0.82,1257.73
JUNGLE,샤코,8.09,5.22,7.36,4.33,18125.9281,21039.3866,30.008,12295.0479,169.7013,1599.2,1.48,680.06,461.3,1.13,789.37
MIDDLE,루시안,5.03,5.69,5.05,2.44,21420.9182,20925.0545,24.8727,11409.7,211.8455,1535.72,1.19,836.91,445.77,0.97,817.53
UTILITY,세라핀,1.81,5.15,12.65,4.04,9390.4767,16746.6565,77.7488,7846.2464,30.8909,1559.57,0.14,361.27,301.86,2.99,644.28
UTILITY,쉔,2.54,5.76,13.13,3.76,9315.8204,22615.2767,87.432,8173.6893,31.7136,1587.83,0.22,352.02,308.86,3.3,854.58
MIDDLE,트린다미어,5.55,5.39,4.3,2.85,18708.7887,33173.0361,23.4433,11623.5258,214.3247,1527.4,2.15,734.93,456.6,0.92,1303.12
TOP,아이번,2.79,3.78,7.17,3.53,16623.5537,15006.5372,25.9421,9089.6364,163.1653,1533.34,1.45,650.48,355.68,1.02,587.21
TOP,쉔,3.67,4.26,9.01,4.42,16545.8951,27007.4815,22.7273,9633.6443,168.323,1565.14,1.06,634.29,369.31,0.87,1035.34
MIDDLE,카밀,4.89,5.81,5.22,3.03,17611.8611,27008.1389,23.3611,10158.6389,170.6944,1498.19,1.53,705.32,406.84,0.94,1081.63
