position,champion,team,total_games,win_count,win_rate
JUNGLE,자르반 4세,Red,1483,723,48.75
JUNGLE,자이라,Blue,574,305,53.14
JUNGLE,자이라,Red,605,332,54.88
JUNGLE,자크,Blue,946,516,54.55
JUNGLE,자크,Red,999,534,53.45
JUNGLE,자헨,Blue,35,17,48.57
JUNGLE,자헨,Red,36,20,55.56
JUNGLE,잭스,Blue,107,51,47.66
JUNGLE,잭스,Red,134,75,55.97
JUNGLE,제드,Blue,1055,495,46.92
JUNGLE,제드,Red,1079,520,48.19
JUNGLE,제리,Blue,2,1,50.0
JUNGLE,제리,Red,1,0,0.0
JUNGLE,제이스,Blue,4817,2351,48.81
JUNGLE,제이스,Red,2889,1427,49.39
JUNGLE,진,Red,2,0,0.0
JUNGLE,초가스,Blue,73,41,56.16
JUNGLE,초가스,Red,66,39,59.09
JUNGLE,카밀,Blue,1,1,100.0
JUNGLE,카밀,Red,1,0,0.0
JUNGLE,카서스,Blue,934,480,51.39
JUNGLE,카서스,Red,930,517,55.59
JUNGLE,카시오페아,Blue,1,0,0.0
JUNGLE,카이사,Blue,7,0,0.0
JUNGLE,카이사,Red,4,1,25.0
JUNGLE,카직스,Blue,1080,554,51.3
JUNGLE,카직스,Red,1194,603,50.5
JUNGLE,케인,Blue,239,122,51.05
JUNGLE,케인,Red,248,115,46.37
JUNGLE,키아나,Blue,1735,882,50.84
JUNGLE,키아나,Red,1790,926,51.73
JUNGLE,킨드레드,Blue,480,262,54.58
JUNGLE,킨드레드,Red,497,254,51.11
JUNGLE,타릭,Red,2,1,50.0
JUNGLE,탈론,Blue,957,471,49.22
JUNGLE,탈론,Red,940,493,52.45
JUNGLE,탈리야,Blue,372,195,52.42
JUNGLE,탈리야,Red,330,164,49.7
JUNGLE,트런들,Blue,84,43,51.19
JUNGLE,트런들,Red,117,51,43.59
JUNGLE,트린다미어,Blue,2,0,0.0
JUNGLE,트위스티드 페이트,Blue,1,0,0.0
JUNGLE,트위치,Blue,4,2,50.0
JUNGLE,트위치,Red,7,2,28.57
JUNGLE,티모,Blue,2,0,0.0
JUNGLE,티모,Red,5,0,0.0
JUNGLE,판테온,Blue,179,93,51.96
JUNGLE,판테온,Red,206,101,49.03
JUNGLE,피들스틱,Blue,390,215,55.13
JUNGLE,피들스틱,Red,370,205,55.41
JUNGLE,피즈,Blue,2,0,0.0
JUNGLE,피즈,Red,5,2,40.0
JUNGLE,하이머딩거,Blue,1,0,0.0
JUNGLE,헤카림,Blue,1100,543,49.36
JUNGLE,헤카림,Red,1134,581,51.23
MIDDLE,가렌,Blue,52,24,46.15
MIDDLE,가렌,Red,35,18,51.43
MIDDLE,갈리오,Blue,2165,1053,48.64
MIDDLE,갈리오,Red,2078,997,47.98
MIDDLE,갱플랭크,Blue,42,23,54.76
MIDDLE,갱플랭크,Red,43,18,41.86
MIDDLE,그라가스,Blue,137,84,61.31
MIDDLE,그라가스,Red,116,56,48.28
MIDDLE,그레이브즈,Blue,5,0,0.0
MIDDLE,그레이브즈,Red,6,4,66.67
MIDDLE,그웬,Blue,8,6,75.0
MIDDLE,그웬,Red,14,5,35.71
MIDDLE,나르,Blue,7,3,42.86
MIDDLE,나르,Red,8,3,37.5
MIDDLE,나서스,Blue,21,11,52.38
MIDDLE,나서스,Red,24,14,58.33
MIDDLE,나피리,Blue,362,185,51.1
MIDDLE,나피리,Red,380,182,47.89
MIDDLE,노틸러스,Blue,6,1,16.67
MIDDLE,노틸러스,Red,3,2,66.67
MIDDLE,녹턴,Blue,38,16,42.11
MIDDLE,녹턴,Red,35,16,45.71
MIDDLE,누누와 윌럼프,Blue,151,77,50.99
MIDDLE,누누와 윌럼프,Red,162,85,52.47
MIDDLE,니달리,Blue,1,1,100.0
MIDDLE,니달리,Red,1,0,0.0
MIDDLE,니코,Blue,218,118,54.13
MIDDLE,니코,Red,225,128,56.89
MIDDLE,다리우스,Blue,4,4,100.0
MIDDLE,다리우스,Red,4,1,25.0
MIDDLE,다이애나,Blue,555,281,50.63
MIDDLE,다이애나,Red,502,233,46.41
MIDDLE,드레이븐,Blue,8,3,37.5
MIDDLE,드레이븐,Red,8,4,50.0
MIDDLE,라이즈,Blue,2174,1097,50.46
MIDDLE,라이즈,Red,2215,1060,47.86
MIDDLE,람머스,Red,2,2,100.0
MIDDLE,럭스,Blue,187,95,50.8
MIDDLE,럭스,Red,236,119,50.42
MIDDLE,럼블,Blue,52,25,48.08
MIDDLE,럼블,Red,53,25,47.17
MIDDLE,레넥톤,Blue,126,59,46.83
MIDDLE,레넥톤,Red,124,69,55.65
MIDDLE,렉사이,Blue,1,0,0.0
MIDDLE,렉사이,Red,1,1,100.0
MIDDLE,루시안,Blue,52,25,48.08
MIDDLE,루시안,Red,58,24,41.38
MIDDLE,룰루,Blue,23,11,47.83
MIDDLE,룰루,Red,18,5,27.78
MIDDLE,르블랑,Blue,1279,615,48.08
MIDDLE,르블랑,Red,1202,602,50.08
MIDDLE,리 신,Blue,41,21,51.22
MIDDLE,리 신,Red,39,20,51.28
MIDDLE,리븐,Blue,43,28,65.12
MIDDLE,리븐,Red,57,36,63.16
MIDDLE,리산드라,Blue,538,276,51.3
MIDDLE,리산드라,Red,499,274,54.91
MIDDLE,마스터 이,Blue,24,10,41.67
MIDDLE,마스터 이,Red,11,7,63.64
