position,champion,build_path,total_games,win_count,win_rate
BOTTOM,닐라,징수의 총 ➜ 민첩성의 망토 ➜ B.F. 대검,5,2,40.0
BOTTOM,닐라,징수의 총 ➜ 필멸자의 운명 ➜ 무한의 대검,9,3,33.33
BOTTOM,닐라,필멸자의 운명 ➜ 징수의 총 ➜ 무한의 대검,11,6,54.55
BOTTOM,드레이븐,도미닉 경의 인사 ➜ 무한의 대검 ➜ 징수의 총,6,5,83.33
BOTTOM,드레이븐,도미닉 경의 인사 ➜ 징수의 총 ➜ 무한의 대검,9,4,44.44
BOTTOM,드레이븐,도미닉 경의 인사 ➜ 피바라기 ➜ 징수의 총,5,1,20.0
BOTTOM,드레이븐,무한의 대검 ➜ 도미닉 경의 인사 ➜ 피바라기,5,3,60.0
BOTTOM,드레이븐,무한의 대검 ➜ 징수의 총 ➜ 피바라기,5,4,80.0
BOTTOM,드레이븐,무한의 대검 ➜ 피바라기 ➜ 정수 약탈자,8,5,62.5
BOTTOM,드레이븐,무한의 대검 ➜ 피바라기 ➜ 징수의 총,30,17,56.67
BOTTOM,드레이븐,정수 약탈자 ➜ 무한의 대검 ➜ 도미닉 경의 인사,6,5,83.33
BOTTOM,드레이븐,정수 약탈자 ➜ 무한의 대검 ➜ 피바라기,5,3,60.0
BOTTOM,드레이븐,정수 약탈자 ➜ 징수의 총 ➜ 도미닉 경의 인사,7,2,28.57
BOTTOM,드레이븐,정수 약탈자 ➜ 징수의 총 ➜ 무한의 대검,9,7,77.78
BOTTOM,드레이븐,정수 약탈자 ➜ 피바라기 ➜ B.F. 대검,5,4,80.0
BOTTOM,드레이븐,정수 약탈자 ➜ 피바라기 ➜ 무한의 대검,12,6,50.0
BOTTOM,드레이븐,징수의 총 ➜ 무한의 대검 ➜ 도미닉 경의 인사,5,0,0.0
BOTTOM,드레이븐,징수의 총 ➜ 정수 약탈자 ➜ 무한의 대검,6,4,66.67
BOTTOM,드레이븐,징수의 총 ➜ 피바라기 ➜ B.F. 대검,7,4,57.14
BOTTOM,드레이븐,징수의 총 ➜ 피바라기 ➜ 도미닉 경의 인사,5,1,20.0
BOTTOM,드레이븐,징수의 총 ➜ 피바라기 ➜ 롱소드,6,3,50.0
BOTTOM,드레이븐,징수의 총 ➜ 피바라기 ➜ 무한의 대검,11,8,72.73
BOTTOM,드레이븐,피바라기 ➜ B.F. 대검 ➜ 징수의 총,5,2,40.0
BOTTOM,드레이븐,피바라기 ➜ 곡괭이 ➜ 톱날 단검,5,2,40.0
BOTTOM,드레이븐,피바라기 ➜ 도미닉 경의 인사 ➜ 무한의 대검,9,5,55.56
BOTTOM,드레이븐,피바라기 ➜ 도미닉 경의 인사 ➜ 징수의 총,5,4,80.0
BOTTOM,드레이븐,피바라기 ➜ 롱소드 ➜ 롱소드,5,0,0.0
BOTTOM,드레이븐,피바라기 ➜ 무한의 대검 ➜ 도미닉 경의 인사,6,4,66.67
BOTTOM,드레이븐,피바라기 ➜ 무한의 대검 ➜ 정수 약탈자,11,4,36.36
BOTTOM,드레이븐,피바라기 ➜ 무한의 대검 ➜ 징수의 총,17,12,70.59
BOTTOM,드레이븐,피바라기 ➜ 삼위일체 ➜ 도미닉 경의 인사,5,0,0.0
BOTTOM,드레이븐,피바라기 ➜ 정수 약탈자 ➜ 곡괭이,5,4,80.0
BOTTOM,드레이븐,피바라기 ➜ 정수 약탈자 ➜ 도미닉 경의 인사,8,3,37.5
BOTTOM,드레이븐,피바라기 ➜ 정수 약탈자 ➜ 무한의 대검,18,12,66.67
BOTTOM,드레이븐,피바라기 ➜ 정수 약탈자 ➜ 민첩성의 망토,7,4,57.14
BOTTOM,드레이븐,피바라기 ➜ 징수의 총 ➜ B.F. 대검,18,15,83.33
BOTTOM,드레이븐,피바라기 ➜ 징수의 총 ➜ 곡괭이,13,4,30.77
BOTTOM,드레이븐,피바라기 ➜ 징수의 총 ➜ 도미닉 경의 인사,19,11,57.89
BOTTOM,드레이븐,피바라기 ➜ 징수의 총 ➜ 롱소드,5,3,60.0
BOTTOM,드레이븐,피바라기 ➜ 징수의 총 ➜ 무한의 대검,47,27,57.45
BOTTOM,드레이븐,피바라기 ➜ 징수의 총 ➜ 민첩성의 망토,5,1,20.0
BOTTOM,드레이븐,피바라기 ➜ 징수의 총 ➜ 최후의 속삭임,7,4,57.14
BOTTOM,드레이븐,피바라기 ➜ 징수의 총 ➜ 필멸자의 운명,7,1,14.29
BOTTOM,드레이븐,피바라기 ➜ 톱날 단검 ➜ 곡괭이,6,3,50.0
BOTTOM,드레이븐,필멸자의 운명 ➜ 피바라기 ➜ 징수의 총,6,4,66.67
BOTTOM,루시안,B.F. 대검 ➜ 곡괭이 ➜ 나보리 명멸검,5,3,60.0
BOTTOM,루시안,B.F. 대검 ➜ 곡괭이 ➜ 민첩성의 망토,9,2,22.22
BOTTOM,루시안,B.F. 대검 ➜ 곡괭이 ➜ 정수 약탈자,10,6,60.0
BOTTOM,루시안,B.F. 대검 ➜ 나보리 명멸검 ➜ 민첩성의 망토,7,4,57.14
BOTTOM,루시안,B.F. 대검 ➜ 나보리 명멸검 ➜ 정수 약탈자,22,14,63.64
BOTTOM,루시안,B.F. 대검 ➜ 도미닉 경의 인사 ➜ 정수 약탈자,5,3,60.0
BOTTOM,루시안,B.F. 대검 ➜ 무한의 대검 ➜ 정수 약탈자,8,7,87.5
BOTTOM,루시안,B.F. 대검 ➜ 민첩성의 망토 ➜ 정수 약탈자,11,5,45.45
BOTTOM,루시안,B.F. 대검 ➜ 정수 약탈자 ➜ 곡괭이,9,4,44.44
BOTTOM,루시안,B.F. 대검 ➜ 정수 약탈자 ➜ 나보리 명멸검,52,25,48.08
BOTTOM,루시안,고속 연사포 ➜ 무한의 대검 ➜ 정수 약탈자,6,3,50.0
BOTTOM,루시안,고속 연사포 ➜ 정수 약탈자 ➜ 무한의 대검,6,4,66.67
BOTTOM,루시안,곡괭이 ➜ B.F. 대검 ➜ 나보리 명멸검,7,3,42.86
BOTTOM,루시안,곡괭이 ➜ B.F. 대검 ➜ 민첩성의 망토,7,4,57.14
BOTTOM,루시안,곡괭이 ➜ B.F. 대검 ➜ 정수 약탈자,6,2,33.33
BOTTOM,루시안,곡괭이 ➜ 나보리 명멸검 ➜ 정수 약탈자,6,4,66.67
BOTTOM,루시안,곡괭이 ➜ 민첩성의 망토 ➜ B.F. 대검,9,3,33.33
BOTTOM,루시안,곡괭이 ➜ 민첩성의 망토 ➜ 나보리 명멸검,5,2,40.0
BOTTOM,루시안,곡괭이 ➜ 민첩성의 망토 ➜ 정수 약탈자,7,1,14.29
BOTTOM,루시안,곡괭이 ➜ 정수 약탈자 ➜ 나보리 명멸검,27,15,55.56
BOTTOM,루시안,나보리 명멸검 ➜ B.F. 대검 ➜ 곡괭이,9,3,33.33
BOTTOM,루시안,나보리 명멸검 ➜ B.F. 대검 ➜ 정수 약탈자,26,14,53.85
BOTTOM,루시안,나보리 명멸검 ➜ 곡괭이 ➜ 정수 약탈자,31,13,41.94
BOTTOM,루시안,나보리 명멸검 ➜ 도미닉 경의 인사 ➜ B.F. 대검,5,2,40.0
BOTTOM,루시안,나보리 명멸검 ➜ 도미닉 경의 인사 ➜ 무한의 대검,10,5,50.0
BOTTOM,루시안,나보리 명멸검 ➜ 도미닉 경의 인사 ➜ 정수 약탈자,15,6,40.0
BOTTOM,루시안,나보리 명멸검 ➜ 롱소드 ➜ 무한의 대검,8,3,37.5
BOTTOM,루시안,나보리 명멸검 ➜ 롱소드 ➜ 정수 약탈자,10,4,40.0
BOTTOM,루시안,나보리 명멸검 ➜ 무한의 대검 ➜ B.F. 대검,5,3,60.0
BOTTOM,루시안,나보리 명멸검 ➜ 무한의 대검 ➜ 도미닉 경의 인사,16,10,62.5
BOTTOM,루시안,나보리 명멸검 ➜ 무한의 대검 ➜ 롱소드,8,2,25.0
BOTTOM,루시안,나보리 명멸검 ➜ 무한의 대검 ➜ 맬모셔스의 아귀,5,4,80.0
BOTTOM,루시안,나보리 명멸검 ➜ 무한의 대검 ➜ 민첩성의 망토,9,4,44.44
BOTTOM,루시안,나보리 명멸검 ➜ 무한의 대검 ➜ 정수 약탈자,105,67,63.81
BOTTOM,루시안,나보리 명멸검 ➜ 무한의 대검 ➜ 최후의 속삭임,10,6,60.0
BOTTOM,루시안,나보리 명멸검 ➜ 무한의 대검 ➜ 필멸자의 운명,8,2,25.0
BOTTOM,루시안,나보리 명멸검 ➜ 민첩성의 망토 ➜ 곡괭이,6,2,33.33
BOTTOM,루시안,나보리 명멸검 ➜ 민첩성의 망토 ➜ 정수 약탈자,18,8,44.44
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ B.F. 대검,37,24,64.86
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 곡괭이,38,17,44.74
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 도미닉 경의 인사,21,12,57.14
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 롱소드,7,2,28.57
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 무한의 대검,139,80,57.55
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 민첩성의 망토,34,14,41.18
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 수은 장식띠,7,5,71.43
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 절정의 화살,9,4,44.44
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 처형인의 대검,6,1,16.67
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 최후의 속삭임,6,2,33.33
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 칠흑의 양날 도끼,10,7,70.0
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 탐식의 망치,6,2,33.33
BOTTOM,루시안,나보리 명멸검 ➜ 정수 약탈자 ➜ 필멸자의 운명,7,2,28.57
BOTTOM,루시안,나보리 명멸검 ➜ 칠흑의 양날 도끼 ➜ 정수 약탈자,13,8,61.54
BOTTOM,루시안,나보리 명멸검 ➜ 탐식의 망치 ➜ 정수 약탈자,6,2,33.33
BOTTOM,루시안,나보리 명멸검 ➜ 필멸자의 운명 ➜ 무한의 대검,7,3,42.86
BOTTOM,루시안,단검 ➜ 단검 ➜ 열정의 검,11,7,63.64
BOTTOM,루시안,단검 ➜ 단검 ➜ 정수 약탈자,9,2,22.22
BOTTOM,루시안,단검 ➜ 열정의 검 ➜ 정수 약탈자,7,5,71.43
BOTTOM,루시안,단검 ➜ 정수 약탈자 ➜ 단검,9,1,11.11
BOTTOM,루시안,단검 ➜ 정수 약탈자 ➜ 열정의 검,8,3,37.5
BOTTOM,루시안,도미닉 경의 인사 ➜ 나보리 명멸검 ➜ 무한의 대검,15,12,80.0
BOTTOM,루시안,도미닉 경의 인사 ➜ 나보리 명멸검 ➜ 정수 약탈자,17,8,47.06
BOTTOM,루시안,도미닉 경의 인사 ➜ 무한의 대검 ➜ 나보리 명멸검,21,14,66.67
BOTTOM,루시안,도미닉 경의 인사 ➜ 무한의 대검 ➜ 정수 약탈자,12,10,83.33
BOTTOM,루시안,도미닉 경의 인사 ➜ 정수 약탈자 ➜ 나보리 명멸검,54,25,46.3
BOTTOM,루시안,도미닉 경의 인사 ➜ 정수 약탈자 ➜ 무한의 대검,20,11,55.0
BOTTOM,루시안,롱소드 ➜ 나보리 명멸검 ➜ 정수 약탈자,7,1,14.29
BOTTOM,루시안,롱소드 ➜ 롱소드 ➜ 무한의 대검,7,2,28.57
BOTTOM,루시안,롱소드 ➜ 무한의 대검 ➜ 나보리 명멸검,7,3,42.86
BOTTOM,루시안,롱소드 ➜ 정수 약탈자 ➜ 나보리 명멸검,16,9,56.25
BOTTOM,루시안,롱소드 ➜ 정수 약탈자 ➜ 무한의 대검,7,2,28.57
BOTTOM,루시안,맬모셔스의 아귀 ➜ 정수 약탈자 ➜ 나보리 명멸검,5,3,60.0
BOTTOM,루시안,무한의 대검 ➜ 고속 연사포 ➜ 정수 약탈자,10,6,60.0
BOTTOM,루시안,무한의 대검 ➜ 나보리 명멸검 ➜ B.F. 대검,5,4,80.0
BOTTOM,루시안,무한의 대검 ➜ 나보리 명멸검 ➜ 도미닉 경의 인사,24,17,70.83
BOTTOM,루시안,무한의 대검 ➜ 나보리 명멸검 ➜ 롱소드,11,7,63.64
