position,champion,spell1,spell2,total_games,win_count,win_rate
JUNGLE,케인,강타,점멸,482,236,48.96
JUNGLE,케인,강타,점화,5,1,20.0
JUNGLE,키아나,강타,점멸,3525,1808,51.29
JUNGLE,킨드레드,강타,점멸,973,513,52.72
JUNGLE,탈론,강타,점멸,1892,963,50.9
JUNGLE,탈론,강타,점화,5,1,20.0
JUNGLE,탈리야,강타,점멸,702,359,51.14
JUNGLE,트런들,강타,점멸,201,94,46.77
JUNGLE,트위치,강타,점멸,11,4,36.36
JUNGLE,티모,강타,점멸,7,0,0.0
JUNGLE,판테온,강타,점멸,385,194,50.39
JUNGLE,피들스틱,강타,점멸,760,420,55.26
JUNGLE,피즈,강타,점멸,7,2,28.57
JUNGLE,헤카림,강타,유체화,2229,1123,50.38
MIDDLE,가렌,순간이동,점멸,26,16,61.54
MIDDLE,가렌,유체화,점멸,8,5,62.5
MIDDLE,가렌,점화,점멸,53,21,39.62
MIDDLE,갈리오,순간이동,점멸,2758,1299,47.1
MIDDLE,갈리오,유체화,점멸,991,505,50.96
MIDDLE,갈리오,점화,점멸,412,205,49.76
MIDDLE,갈리오,정화,점멸,5,4,80.0
MIDDLE,갈리오,탈진,점멸,53,26,49.06
MIDDLE,갈리오,회복,점멸,22,10,45.45
MIDDLE,갱플랭크,순간이동,점멸,60,30,50.0
MIDDLE,갱플랭크,점화,점멸,24,11,45.83
MIDDLE,그라가스,순간이동,점멸,224,123,54.91
MIDDLE,그라가스,점화,점멸,29,17,58.62
MIDDLE,그레이브즈,점화,점멸,7,2,28.57
MIDDLE,그웬,유체화,점화,5,3,60.0
MIDDLE,그웬,점화,점멸,5,3,60.0
MIDDLE,나르,점화,점멸,9,3,33.33
MIDDLE,나서스,순간이동,유체화,19,13,68.42
MIDDLE,나서스,순간이동,점멸,8,3,37.5
MIDDLE,나서스,유체화,점멸,16,7,43.75
MIDDLE,나피리,순간이동,점멸,63,27,42.86
MIDDLE,나피리,점화,점멸,668,337,50.45
MIDDLE,노틸러스,순간이동,점멸,8,3,37.5
MIDDLE,녹턴,순간이동,점멸,42,20,47.62
MIDDLE,녹턴,점화,점멸,31,12,38.71
MIDDLE,누누와 윌럼프,유체화,점멸,5,1,20.0
MIDDLE,누누와 윌럼프,점화,점멸,293,153,52.22
MIDDLE,누누와 윌럼프,정화,점멸,12,8,66.67
MIDDLE,니코,순간이동,점멸,317,172,54.26
MIDDLE,니코,점화,점멸,117,67,57.26
MIDDLE,니코,탈진,점멸,5,5,100.0
MIDDLE,다리우스,유체화,점멸,7,5,71.43
MIDDLE,다이애나,순간이동,점멸,433,212,48.96
MIDDLE,다이애나,점화,점멸,618,300,48.54
MIDDLE,드레이븐,방어막,점멸,6,2,33.33
MIDDLE,드레이븐,점화,점멸,5,3,60.0
MIDDLE,라이즈,방어막,점멸,5,2,40.0
MIDDLE,라이즈,순간이동,점멸,2658,1273,47.89
MIDDLE,라이즈,유체화,점멸,1353,716,52.92
MIDDLE,라이즈,점화,점멸,235,111,47.23
MIDDLE,라이즈,정화,점멸,69,25,36.23
MIDDLE,라이즈,탈진,점멸,66,29,43.94
MIDDLE,럭스,방어막,점멸,54,30,55.56
MIDDLE,럭스,순간이동,점멸,181,86,47.51
MIDDLE,럭스,유체화,점멸,19,9,47.37
MIDDLE,럭스,점화,점멸,112,63,56.25
MIDDLE,럭스,정화,점멸,18,8,44.44
MIDDLE,럭스,탈진,점멸,34,18,52.94
MIDDLE,럭스,회복,점멸,5,0,0.0
MIDDLE,럼블,순간이동,점멸,17,2,11.76
MIDDLE,럼블,점화,점멸,84,46,54.76
MIDDLE,레넥톤,순간이동,점멸,114,53,46.49
MIDDLE,레넥톤,점화,점멸,132,73,55.3
MIDDLE,루시안,방어막,점멸,5,2,40.0
MIDDLE,루시안,순간이동,점멸,48,22,45.83
MIDDLE,루시안,점화,점멸,34,13,38.24
MIDDLE,루시안,정화,점멸,6,1,16.67
MIDDLE,루시안,탈진,점멸,17,11,64.71
MIDDLE,룰루,순간이동,점멸,16,7,43.75
MIDDLE,룰루,점화,점멸,16,6,37.5
MIDDLE,룰루,회복,점멸,6,3,50.0
MIDDLE,르블랑,순간이동,점멸,640,303,47.34
MIDDLE,르블랑,순간이동,점화,188,85,45.21
MIDDLE,르블랑,점화,점멸,1638,819,50.0
MIDDLE,르블랑,정화,점멸,9,7,77.78
MIDDLE,르블랑,탈진,점멸,5,3,60.0
MIDDLE,리 신,순간이동,점멸,27,16,59.26
MIDDLE,리 신,점화,점멸,51,24,47.06
MIDDLE,리븐,순간이동,점멸,10,6,60.0
MIDDLE,리븐,점화,점멸,82,52,63.41
MIDDLE,리븐,정화,점멸,8,6,75.0
MIDDLE,리산드라,순간이동,점멸,776,409,52.71
MIDDLE,리산드라,점화,점멸,252,139,55.16
MIDDLE,마스터 이,순간이동,점멸,8,5,62.5
MIDDLE,마스터 이,점화,점멸,22,11,50.0
MIDDLE,마스터 이,탈진,점멸,5,1,20.0
MIDDLE,말자하,순간이동,점멸,724,343,47.38
MIDDLE,말자하,유체화,점멸,71,33,46.48
MIDDLE,말자하,점화,점멸,10,3,30.0
MIDDLE,말자하,정화,점멸,6,2,33.33
MIDDLE,말자하,탈진,점멸,6,2,33.33
MIDDLE,말파이트,순간이동,점멸,88,48,54.55
MIDDLE,말파이트,점화,점멸,23,9,39.13
MIDDLE,멜,순간이동,점멸,1117,488,43.69
MIDDLE,멜,유체화,점멸,66,30,45.45
MIDDLE,멜,점화,점멸,13,2,15.38
MIDDLE,멜,정화,점멸,10,5,50.0
MIDDLE,멜,탈진,점멸,16,2,12.5
MIDDLE,모데카이저,순간이동,점멸,15,7,46.67
MIDDLE,모데카이저,유체화,점멸,5,2,40.0
MIDDLE,모데카이저,점화,점멸,15,7,46.67
MIDDLE,모데카이저,탈진,점멸,27,15,55.56
MIDDLE,모르가나,순간이동,점멸,164,92,56.1
MIDDLE,모르가나,점화,점멸,17,7,41.18
MIDDLE,문도 박사,순간이동,점멸,7,2,28.57
MIDDLE,바루스,방어막,점멸,101,71,70.3
MIDDLE,바루스,순간이동,점멸,9,2,22.22
MIDDLE,바루스,유체화,점멸,33,20,60.61
MIDDLE,바루스,정화,점멸,17,9,52.94
MIDDLE,바루스,탈진,점멸,7,3,42.86
MIDDLE,바이,점화,점멸,7,3,42.86
MIDDLE,베이가,순간이동,점멸,351,182,51.85
MIDDLE,베이가,유체화,점멸,20,7,35.0
MIDDLE,베이가,점화,점멸,6,4,66.67
MIDDLE,베이가,탈진,점멸,5,5,100.0
MIDDLE,베인,유체화,점멸,17,4,23.53
MIDDLE,벡스,순간이동,점멸,737,391,53.05
MIDDLE,벡스,유체화,점멸,6,4,66.67
MIDDLE,벡스,점화,점멸,396,217,54.8
MIDDLE,벡스,정화,점멸,6,3,50.0
MIDDLE,벡스,탈진,점멸,10,3,30.0
MIDDLE,벨베스,순간이동,점멸,6,3,50.0
MIDDLE,벨코즈,방어막,점멸,5,3,60.0
MIDDLE,벨코즈,순간이동,점멸,66,27,40.91
MIDDLE,벨코즈,유체화,점멸,51,29,56.86
MIDDLE,브라이어,점화,점멸,13,8,61.54
MIDDLE,브랜드,순간이동,점멸,37,16,43.24
MIDDLE,브랜드,유체화,점멸,7,2,28.57
MIDDLE,브랜드,점화,점멸,13,6,46.15
MIDDLE,블라디미르,순간이동,점멸,21,11,52.38
MIDDLE,블라디미르,유체화,점멸,452,225,49.78
