position,champion,avg_cs,avg_gold,avg_plates,avg_early_kills
MIDDLE,자이라,219.3529,11016.3235,19.55,1.71
UTILITY,리산드라,40.1429,7612.0714,13.44,1.58
MIDDLE,피즈,188.5016,11490.2074,17.41,2.92
UTILITY,크산테,36.5636,7742.6727,16.63,2.03
TOP,엘리스,176.3333,10668.8333,14.67,2.36
UTILITY,신지드,47.381,8138.0476,12.81,1.76
TOP,나서스,182.3388,10283.2336,15.76,1.68
TOP,우르곳,204.1426,11870.2004,15.46,2.37
MIDDLE,크산테,196.2376,10224.8713,15.58,1.87
BOTTOM,코그모,214.8505,13268.3452,15.71,2.92
BOTTOM,아우렐리온 솔,213.958,12981.0252,17.06,2.75
UTILITY,우디르,45.7857,8088.8571,16.25,1.43
UTILITY,말파이트,42.7857,9172.1429,27.29,2.11
TOP,조이,188.12,10803.42,16.51,2.5
MIDDLE,자헨,195.7625,10442.2875,18.21,1.98
UTILITY,스카너,31.2391,8633.9203,17.6,2.02
UTILITY,아우렐리온 솔,22.5,4613.5,4.0,2.0
JUNGLE,올라프,182.3291,11760.1646,26.68,2.88
MIDDLE,케넨,189.1322,11202.7355,15.44,2.6
TOP,모르가나,205.6667,11054.3333,23.0,2.0
TOP,가렌,204.7457,11201.8248,15.98,2.05
MIDDLE,럭스,210.3948,11523.8511,17.15,2.52
MIDDLE,카서스,197.8864,11170.0682,20.74,2.75
MIDDLE,피들스틱,146.2619,8976.4286,18.4,2.28
UTILITY,자크,39.77,8544.8,17.28,1.99
TOP,아크샨,192.6533,12004.24,16.47,2.76
TOP,신 짜오,174.5561,10569.2511,19.53,2.6
UTILITY,제라스,43.5449,9018.1362,17.68,2.02
TOP,드레이븐,219.6754,13141.6579,16.89,3.32
UTILITY,케넨,37.5357,8557.9881,15.69,2.32
MIDDLE,유나라,218.5652,11696.2174,18.26,2.06
JUNGLE,아이번,148.9242,10243.8166,25.36,2.1
MIDDLE,시비르,225.0,11355.75,14.75,1.62
UTILITY,카시오페아,34.931,8754.069,14.62,2.3
TOP,카타리나,180.9063,10494.625,17.56,2.29
MIDDLE,트위치,170.9032,10382.0645,17.74,3.3
MIDDLE,나피리,194.2911,11733.1253,16.84,2.99
MIDDLE,올라프,197.25,11144.875,9.0,3.14
JUNGLE,우디르,192.5608,12096.2522,24.95,3.08
MIDDLE,리븐,191.99,11358.89,13.69,2.85
TOP,모데카이저,187.3928,10667.6234,16.19,2.35
MIDDLE,리 신,190.3375,10570.1,17.26,2.67
UTILITY,녹턴,53.5714,10600.0,20.86,3.25
BOTTOM,신지드,202.9835,12754.4451,16.11,3.16
BOTTOM,흐웨이,215.1429,12198.631,15.11,2.43
JUNGLE,그라가스,169.4087,11491.4348,25.04,2.79
UTILITY,제드,47.7778,11005.2222,19.78,2.25
UTILITY,바루스,40.0,6553.7778,18.22,2.0
MIDDLE,드레이븐,182.9375,10937.0,16.5,2.5
TOP,초가스,190.7173,10509.6545,16.82,1.79
BOTTOM,아크샨,247.0,15757.3333,14.33,2.0
TOP,말자하,211.66,10493.8,14.65,1.71
UTILITY,베인,40.2059,9378.5588,14.76,2.71
MIDDLE,문도 박사,216.9091,11094.6364,17.09,1.8
MIDDLE,말파이트,177.307,9696.9561,18.04,2.02
BOTTOM,세나,193.4516,12339.2581,18.52,2.68
UTILITY,키아나,43.3111,9211.3778,16.87,2.9
TOP,탈론,200.75,11545.75,14.7,2.27
MIDDLE,세트,176.3191,10145.5319,14.91,2.39
TOP,오공,189.5969,10748.0465,16.11,2.34
MIDDLE,케이틀린,218.25,11007.5,16.5,2.0
JUNGLE,모르가나,174.4328,10733.3881,27.96,2.3
UTILITY,제이스,57.6,9715.65,13.32,1.85
MIDDLE,신지드,196.7548,10692.2788,16.46,2.34
TOP,다이애나,187.1064,10388.2128,14.94,2.4
TOP,자이라,242.0,12906.6667,11.67,1.0
UTILITY,자이라,44.3402,8804.7448,17.23,1.78
MIDDLE,노틸러스,170.3333,9059.5556,26.56,1.25
MIDDLE,세주아니,191.8,10827.95,18.8,2.06
MIDDLE,우디르,163.625,9445.0,7.25,1.2
TOP,키아나,196.5543,12032.9348,17.96,3.33
JUNGLE,스카너,162.822,10620.078,25.92,2.51
MIDDLE,베인,192.56,10249.84,14.25,2.11
MIDDLE,제리,229.3673,12481.6735,19.24,2.24
TOP,빅토르,199.4746,10292.5763,16.21,2.05
UTILITY,오로라,43.0,7918.5,14.25,2.33
TOP,그레이브즈,218.3,11291.7,16.6,2.08
MIDDLE,질리언,188.1111,9946.0317,20.33,1.61
TOP,소라카,144.3548,7992.2581,18.26,1.08
JUNGLE,리븐,182.6765,12237.7353,28.75,3.21
UTILITY,럼블,31.5172,7497.1724,14.79,2.14
MIDDLE,잭스,203.1538,12025.5769,23.35,2.71
MIDDLE,룰루,147.3902,8587.9268,18.22,2.15
UTILITY,초가스,33.3889,7790.1111,14.88,2.5
JUNGLE,워윅,162.6335,11641.7919,24.54,3.96
BOTTOM,빅토르,216.6892,12744.7568,15.65,2.61
JUNGLE,니코,185.0256,12440.3846,27.0,2.89
UTILITY,오공,52.9231,9709.0769,19.62,1.91
JUNGLE,사이온,170.913,11499.7391,32.0,3.11
UTILITY,세트,36.4912,7843.9474,16.91,1.88
TOP,카르마,172.3133,9375.5422,16.76,1.79
JUNGLE,브랜드,189.7265,11651.7436,24.0,2.46
TOP,케인,201.7468,10847.6835,13.87,1.86
JUNGLE,마오카이,163.7813,10437.0313,28.0,1.98
TOP,에코,181.7391,10716.6304,18.62,2.27
UTILITY,아지르,40.25,8278.375,16.0,2.29
TOP,오리아나,200.8837,10183.4651,20.93,2.15
BOTTOM,자이라,180.5,9883.25,13.5,2.38
UTILITY,에코,40.4783,8288.6087,14.61,2.35
MIDDLE,애니,185.9672,10644.9836,19.25,2.35
TOP,람머스,150.3333,9142.5333,17.37,2.0
MIDDLE,아트록스,180.2857,10387.2937,18.9,2.94
TOP,칼리스타,178.8333,9636.0,14.83,1.62
UTILITY,브랜드,40.9008,8529.2727,16.25,1.91
BOTTOM,요네,136.3333,7503.0,18.22,2.43
UTILITY,카서스,50.5714,9898.2857,12.71,3.0
UTILITY,트런들,35.6364,8216.7273,18.68,1.93
TOP,쓰레쉬,140.0,7058.3333,11.67,0.0
UTILITY,탈리야,42.3158,8386.3553,14.0,2.42
UTILITY,하이머딩거,40.697,8746.3258,16.6,2.33
UTILITY,직스,56.5,8087.0,13.4,2.12
BOTTOM,탈리야,192.8462,11994.4615,14.12,3.0
