position,champion,rune_key,rune_main,rune_sub,total_games,win_count,win_rate
TOP,에코,칼날비,지배,마법,23,9,39.13
TOP,오공,정복자,정밀,결의,171,92,53.8
TOP,오공,정복자,정밀,영감,30,12,40.0
TOP,오공,정복자,정밀,지배,7,5,71.43
TOP,오공,착취의 손아귀,결의,영감,24,12,50.0
TOP,오공,착취의 손아귀,결의,지배,12,7,58.33
TOP,오로라,감전,지배,결의,18,12,66.67
TOP,오로라,감전,지배,마법,380,180,47.37
TOP,오로라,감전,지배,영감,15,10,66.67
TOP,오로라,감전,지배,정밀,27,12,44.44
TOP,오로라,신비로운 유성,마법,지배,6,1,16.67
TOP,오로라,정복자,정밀,마법,6,3,50.0
TOP,오로라,착취의 손아귀,결의,마법,7,5,71.43
TOP,오로라,착취의 손아귀,결의,정밀,14,6,42.86
TOP,오른,봉인 풀린 주문서,영감,결의,30,15,50.0
TOP,오른,봉인 풀린 주문서,영감,마법,5,4,80.0
TOP,오른,신비로운 유성,마법,결의,8,5,62.5
TOP,오른,여진,결의,영감,6,3,50.0
TOP,오른,착취의 손아귀,결의,마법,174,84,48.28
TOP,오른,착취의 손아귀,결의,영감,435,212,48.74
TOP,오른,착취의 손아귀,결의,정밀,17,4,23.53
TOP,오른,콩콩이 소환,마법,결의,81,39,48.15
TOP,오른,콩콩이 소환,마법,영감,7,4,57.14
TOP,오리아나,난입,마법,결의,8,3,37.5
TOP,오리아나,난입,마법,영감,6,4,66.67
TOP,오리아나,난입,마법,정밀,16,4,25.0
TOP,오리아나,콩콩이 소환,마법,정밀,5,0,0.0
TOP,올라프,정복자,정밀,결의,44,23,52.27
TOP,올라프,정복자,정밀,마법,10,7,70.0
TOP,올라프,정복자,정밀,영감,1374,749,54.51
TOP,요네,기민한 발놀림,정밀,결의,42,16,38.1
TOP,요네,정복자,정밀,결의,6,4,66.67
TOP,요네,치명적 속도,정밀,결의,1566,732,46.74
TOP,요네,치명적 속도,정밀,영감,64,32,50.0
TOP,요릭,난입,마법,결의,7,3,42.86
TOP,요릭,신비로운 유성,마법,결의,57,25,43.86
TOP,요릭,신비로운 유성,마법,영감,49,28,57.14
TOP,요릭,정복자,정밀,결의,170,83,48.82
TOP,요릭,정복자,정밀,영감,36,18,50.0
TOP,요릭,착취의 손아귀,결의,영감,365,191,52.33
TOP,요릭,착취의 손아귀,결의,정밀,67,27,40.3
TOP,우디르,난입,마법,영감,5,1,20.0
TOP,우디르,정복자,정밀,결의,13,4,30.77
TOP,우디르,정복자,정밀,영감,50,22,44.0
TOP,우디르,집중 공격,정밀,결의,7,3,42.86
TOP,우디르,착취의 손아귀,결의,마법,24,9,37.5
TOP,우디르,착취의 손아귀,결의,영감,494,277,56.07
