position,champion,item_name,total_games,win_count,win_rate
JUNGLE,사일러스,암흑의 인장,1061,533,50.24
JUNGLE,사일러스,장화,74,27,36.49
JUNGLE,사일러스,증폭의 고서,723,299,41.36
JUNGLE,샤코,롱소드,191,79,41.36
JUNGLE,샤코,새끼 바람돌이,17,2,11.76
JUNGLE,샤코,암흑의 인장,8,3,37.5
JUNGLE,샤코,장화,38,9,23.68
JUNGLE,샤코,증폭의 고서,23,8,34.78
JUNGLE,세주아니,마법무효화의 망토,39,16,41.03
JUNGLE,세주아니,새끼 바람돌이,12,4,33.33
JUNGLE,세주아니,새끼 화염발톱,6,2,33.33
JUNGLE,세주아니,암흑의 인장,7,4,57.14
JUNGLE,세주아니,장화,49,18,36.73
JUNGLE,쉬바나,증폭의 고서,5,2,40.0
JUNGLE,스카너,롱소드,6,3,50.0
JUNGLE,스카너,마법무효화의 망토,31,9,29.03
JUNGLE,스카너,새끼 바람돌이,9,1,11.11
JUNGLE,스카너,장화,7,2,28.57
JUNGLE,신 짜오,롱소드,485,206,42.47
JUNGLE,신 짜오,마법무효화의 망토,59,32,54.24
JUNGLE,신 짜오,새끼 바람돌이,53,7,13.21
JUNGLE,신 짜오,새끼 화염발톱,37,9,24.32
JUNGLE,신 짜오,수확의 낫,5,0,0.0
JUNGLE,신 짜오,장화,24,9,37.5
JUNGLE,아무무,마법무효화의 망토,6,1,16.67
JUNGLE,아무무,암흑의 인장,12,6,50.0
JUNGLE,아무무,장화,12,7,58.33
JUNGLE,아무무,증폭의 고서,5,1,20.0
JUNGLE,아이번,새끼 바람돌이,27,1,3.7
JUNGLE,아이번,암흑의 인장,184,88,47.83
JUNGLE,아이번,여신의 눈물,16,4,25.0
JUNGLE,아이번,증폭의 고서,83,41,49.4
JUNGLE,아트록스,롱소드,104,40,38.46
JUNGLE,아트록스,새끼 바람돌이,5,0,0.0
JUNGLE,아트록스,새끼 화염발톱,6,2,33.33
JUNGLE,아트록스,장화,13,5,38.46
JUNGLE,암베사,롱소드,841,290,34.48
JUNGLE,암베사,마법무효화의 망토,81,39,48.15
JUNGLE,암베사,새끼 바람돌이,18,1,5.56
JUNGLE,암베사,새끼 화염발톱,46,0,0.0
JUNGLE,암베사,장화,337,112,33.23
JUNGLE,에코,마법무효화의 망토,31,20,64.52
JUNGLE,에코,새끼 바람돌이,31,5,16.13
JUNGLE,에코,새끼 화염발톱,116,8,6.9
JUNGLE,에코,암흑의 인장,1803,903,50.08
JUNGLE,에코,장화,301,129,42.86
JUNGLE,에코,증폭의 고서,1167,545,46.7
JUNGLE,엘리스,마법무효화의 망토,5,3,60.0
JUNGLE,엘리스,새끼 바람돌이,12,3,25.0
JUNGLE,엘리스,새끼 화염발톱,45,17,37.78
JUNGLE,엘리스,암흑의 인장,302,134,44.37
JUNGLE,엘리스,장화,28,6,21.43
JUNGLE,엘리스,증폭의 고서,257,113,43.97
JUNGLE,오공,롱소드,209,84,40.19
JUNGLE,오공,마법무효화의 망토,29,8,27.59
JUNGLE,오공,새끼 바람돌이,15,3,20.0
JUNGLE,오공,새끼 화염발톱,7,1,14.29
JUNGLE,오공,장화,13,1,7.69
JUNGLE,올라프,롱소드,25,9,36.0
JUNGLE,우디르,롱소드,17,9,52.94
JUNGLE,우디르,마법무효화의 망토,11,3,27.27
JUNGLE,우디르,암흑의 인장,159,94,59.12
JUNGLE,우디르,장화,15,4,26.67
JUNGLE,우디르,증폭의 고서,36,19,52.78
JUNGLE,워윅,롱소드,34,21,61.76
JUNGLE,워윅,마법무효화의 망토,20,11,55.0
JUNGLE,워윅,새끼 바람돌이,10,3,30.0
JUNGLE,워윅,장화,21,11,52.38
JUNGLE,이블린,마법무효화의 망토,5,3,60.0
JUNGLE,이블린,새끼 바람돌이,21,2,9.52
JUNGLE,이블린,암흑의 인장,468,227,48.5
JUNGLE,이블린,장화,53,30,56.6
JUNGLE,이블린,증폭의 고서,173,75,43.35
JUNGLE,자르반 4세,롱소드,336,163,48.51
JUNGLE,자르반 4세,마법무효화의 망토,96,45,46.88
JUNGLE,자르반 4세,새끼 바람돌이,32,9,28.12
JUNGLE,자르반 4세,새끼 화염발톱,83,20,24.1
JUNGLE,자르반 4세,장화,38,12,31.58
JUNGLE,자이라,마법무효화의 망토,6,5,83.33
JUNGLE,자이라,새끼 화염발톱,17,1,5.88
JUNGLE,자이라,암흑의 인장,342,207,60.53
JUNGLE,자이라,장화,112,51,45.54
JUNGLE,자이라,증폭의 고서,287,127,44.25
JUNGLE,자크,마법무효화의 망토,66,30,45.45
JUNGLE,자크,새끼 화염발톱,57,9,15.79
JUNGLE,자크,암흑의 인장,792,426,53.79
JUNGLE,자크,장화,14,7,50.0
JUNGLE,자크,증폭의 고서,52,22,42.31
JUNGLE,자헨,롱소드,18,9,50.0
JUNGLE,잭스,롱소드,23,6,26.09
JUNGLE,잭스,마법무효화의 망토,7,2,28.57
JUNGLE,잭스,새끼 바람돌이,5,1,20.0
JUNGLE,잭스,장화,13,3,23.08
JUNGLE,잭스,증폭의 고서,29,13,44.83
JUNGLE,제드,롱소드,686,271,39.5
JUNGLE,제드,마법무효화의 망토,14,9,64.29
JUNGLE,제드,새끼 바람돌이,7,1,14.29
JUNGLE,제드,새끼 화염발톱,30,0,0.0
JUNGLE,제드,장화,258,92,35.66
JUNGLE,제이스,롱소드,2452,963,39.27
JUNGLE,제이스,마법무효화의 망토,28,16,57.14
JUNGLE,제이스,새끼 바람돌이,9,1,11.11
JUNGLE,제이스,새끼 화염발톱,193,13,6.74
JUNGLE,제이스,여신의 눈물,5,0,0.0
JUNGLE,제이스,장화,1404,508,36.18
JUNGLE,초가스,마법무효화의 망토,6,3,50.0
JUNGLE,초가스,암흑의 인장,37,18,48.65
JUNGLE,카서스,새끼 화염발톱,40,4,10.0
JUNGLE,카서스,암흑의 인장,541,320,59.15
JUNGLE,카서스,장화,117,38,32.48
JUNGLE,카서스,증폭의 고서,408,186,45.59
JUNGLE,카이사,롱소드,5,0,0.0
JUNGLE,카직스,롱소드,795,316,39.75
JUNGLE,카직스,새끼 바람돌이,47,4,8.51
JUNGLE,카직스,새끼 화염발톱,15,1,6.67
JUNGLE,카직스,장화,486,198,40.74
JUNGLE,케인,롱소드,145,62,42.76
JUNGLE,케인,마법무효화의 망토,16,7,43.75
JUNGLE,케인,새끼 바람돌이,9,0,0.0
JUNGLE,케인,새끼 화염발톱,8,0,0.0
JUNGLE,케인,장화,77,30,38.96
JUNGLE,키아나,롱소드,1146,440,38.39
JUNGLE,키아나,마법무효화의 망토,11,3,27.27
JUNGLE,키아나,새끼 바람돌이,47,5,10.64
