position,champion,item_name,total_games,win_count,win_rate
MIDDLE,암베사,망원형 개조,67,29.0,43.28
JUNGLE,제드,투명 와드,87,26.0,29.89
TOP,볼리베어,망원형 개조,241,124.0,51.45
JUNGLE,샤코,투명 와드,34,15.0,44.12
JUNGLE,마오카이,예언자의 렌즈,55,23.0,41.82
TOP,그레이브즈,망원형 개조,13,4.0,30.77
TOP,우디르,망원형 개조,44,24.0,54.55
MIDDLE,자헨,예언자의 렌즈,42,21.0,50.0
TOP,키아나,망원형 개조,6,1.0,16.67
TOP,에코,예언자의 렌즈,22,12.0,54.55
JUNGLE,니달리,투명 와드,53,21.0,39.62
UTILITY,아지르,예언자의 렌즈,8,3.0,37.5
JUNGLE,렝가,투명 와드,17,3.0,17.65
JUNGLE,아트록스,투명 와드,17,2.0,11.76
BOTTOM,이즈리얼,예언자의 렌즈,16,7.0,43.75
MIDDLE,스웨인,투명 와드,106,44.0,41.51
TOP,오리아나,망원형 개조,22,5.0,22.73
TOP,가렌,투명 와드,321,141.0,43.93
TOP,그레이브즈,예언자의 렌즈,9,3.0,33.33
UTILITY,베인,망원형 개조,1,0.0,0.0
BOTTOM,자이라,망원형 개조,8,3.0,37.5
MIDDLE,모르가나,망원형 개조,52,27.0,51.92
UTILITY,에코,예언자의 렌즈,23,12.0,52.17
MIDDLE,카사딘,망원형 개조,108,55.0,50.93
MIDDLE,애니,예언자의 렌즈,151,72.0,47.68
TOP,세주아니,망원형 개조,33,13.0,39.39
UTILITY,쓰레쉬,망원형 개조,1,1.0,100.0
JUNGLE,다이애나,망원형 개조,6,2.0,33.33
MIDDLE,카서스,투명 와드,4,1.0,25.0
JUNGLE,카서스,망원형 개조,160,75.0,46.88
TOP,람머스,예언자의 렌즈,14,9.0,64.29
JUNGLE,우디르,투명 와드,49,26.0,53.06
TOP,세트,망원형 개조,143,81.0,56.64
