champion,item_name,pick_count,win_rate
벨코즈,실체화 장비,38,55.26
벨코즈,리안드리의 고통,33,48.48
벨코즈,부서진 팔목 보호대,33,81.82
벨코즈,추적자의 팔목 보호대,31,58.06
벨코즈,마법공학 교류 발전기,30,53.33
벨코즈,마법공학 로켓 벨트,27,51.85
벨코즈,신록의 장벽,26,61.54
벨코즈,충전형 물약,22,59.09
벨코즈,망각의 구,21,38.1
벨코즈,모렐로노미콘,16,50.0
벨코즈,기괴한 가면,16,25.0
벨코즈,사라진 양피지,16,56.25
벨코즈,운명의 재,13,46.15
벨코즈,방출의 마법봉,13,46.15
벨코즈,빛나는 티끌,11,36.36
비에고,징수의 총,10,50.0
비에고,도란의 검,10,50.0
빅토르,어둠불꽃 횃불,49,61.22
빅토르,도란의 반지,48,64.58
빅토르,존야의 모래시계,40,62.5
빅토르,리치베인,27,70.37
빅토르,쓸데없이 큰 지팡이,23,65.22
빅토르,루덴의 메아리,21,61.9
빅토르,리안드리의 고통,17,41.18
빅토르,증폭의 고서,17,64.71
빅토르,라바돈의 죽음모자,15,60.0
빅토르,충전형 물약,14,64.29
빅토르,암흑의 인장,13,84.62
빅토르,망각의 구,12,66.67
빅토르,그림자불꽃,10,70.0
사미라,징수의 총,563,50.98
사미라,무한의 대검,462,55.41
사미라,도란의 검,439,48.29
사미라,불멸의 철갑궁,240,57.92
사미라,도미닉 경의 인사,227,55.95
사미라,롱소드,145,40.69
사미라,민첩성의 망토,119,48.74
사미라,B.F. 대검,108,53.7
사미라,곡괭이,91,45.05
사미라,피바라기,81,60.49
사미라,절정의 화살,81,44.44
사미라,최후의 속삭임,58,41.38
사미라,제어 와드,55,54.55
사미라,흡혈의 낫,49,65.31
사미라,충전형 물약,43,39.53
사미라,필멸자의 운명,43,65.12
사미라,수호 천사,41,68.29
사미라,장화,15,6.67
사미라,처형인의 대검,14,28.57
사미라,천 갑옷,14,57.14
사미라,끝없는 갈망,12,58.33
사미라,헤르메스의 시미터,11,54.55
사미라,강철 인장,11,63.64
세나,도란의 검,27,33.33
세나,스태틱의 단검,19,26.32
세나,무한의 대검,17,29.41
세나,고속 연사포,15,13.33
세라핀,도란의 반지,49,44.9
세라핀,어둠불꽃 횃불,27,44.44
세라핀,라일라이의 수정홀,25,68.0
세라핀,대천사의 포옹,20,45.0
세라핀,헬리아의 메아리,19,52.63
세라핀,여신의 눈물,17,41.18
세라핀,루덴의 메아리,15,66.67
세라핀,무덤꽃,13,61.54
세라핀,망각의 구,10,30.0
스몰더,정수 약탈자,1195,51.88
스몰더,도란의 검,919,51.14
스몰더,고속 연사포,896,54.91
스몰더,쇼진의 창,573,53.23
스몰더,무한의 대검,569,59.75
스몰더,민첩성의 망토,214,42.52
스몰더,B.F. 대검,207,57.97
스몰더,곡괭이,203,47.29
스몰더,충전형 물약,167,45.51
스몰더,도미닉 경의 인사,156,55.13
스몰더,롱소드,145,47.59
스몰더,필멸자의 운명,127,52.76
스몰더,단검,93,48.39
스몰더,열정의 검,86,53.49
스몰더,수호 천사,85,68.24
스몰더,피바라기,83,56.63
스몰더,루비 수정,75,50.67
스몰더,수확의 낫,74,45.95
스몰더,땅굴 채굴기,71,42.25
스몰더,최후의 속삭임,69,52.17
스몰더,제어 와드,68,48.53
스몰더,정찰병의 새총,68,42.65
스몰더,오만,53,56.6
스몰더,절정의 화살,50,50.0
스몰더,불멸의 철갑궁,41,58.54
스몰더,처형인의 대검,40,52.5
스몰더,흡혈의 낫,40,50.0
스몰더,마법광학 장치 C44,27,70.37
스몰더,존야의 모래시계,23,69.57
스몰더,강철 인장,23,65.22
스몰더,독사의 송곳니,22,63.64
스몰더,헤르메스의 시미터,19,47.37
스몰더,수은 장식띠,19,47.37
스몰더,콜필드의 전투 망치,18,38.89
스몰더,부서진 팔목 보호대,18,66.67
스몰더,맬모셔스의 아귀,17,58.82
스몰더,명석함의 아이오니아 장화,17,5.88
스몰더,주문포식자,16,37.5
스몰더,칠흑의 양날 도끼,14,57.14
스몰더,폭풍갈퀴,14,42.86
